shot,method,fold_idx,seed,data_seed,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,runtime_sec,epoch_time_avg,timestamp,error
50,Baseline,0,42,42,30.0,3.431246042251587,56.0,92.4,1.358991265296936,200,194,153.67168426513672,0.7614076089859009,2026-01-24T12:09:30.953380,
50,RandAugment,0,42,42,28.4,3.338441133499145,56.4,32.06666666666667,3.137401580810547,200,191,308.8388376235962,1.5376673889160155,2026-01-24T12:14:39.803355,
50,SAS,0,42,42,31.2,3.304230213165283,55.8,73.06666666666666,1.846713662147522,200,184,201.8239588737488,1.002531886100769,2026-01-24T12:18:01.635531,
20,Baseline,0,42,42,21.0,3.672968864440918,48.0,50.11111111111112,2.5140411853790283,200,179,62.08368754386902,0.3038964962959289,2026-01-24T12:19:03.728604,
20,RandAugment,0,42,42,12.0,3.993241310119629,31.0,9.88888888888889,4.001394271850586,200,182,123.74652338027954,0.6121599280834198,2026-01-24T12:21:07.485574,
20,SAS,0,42,42,20.0,3.792194604873657,40.0,52.22222222222222,2.59940767288208,200,187,81.5345675945282,0.4010576474666595,2026-01-24T12:22:29.029435,
200,Baseline,0,42,42,35.5,2.9728188514709477,65.6,43.92777777777778,2.65993595123291,200,198,593.7488377094269,2.962051980495453,2026-01-24T12:32:22.787353,
200,RandAugment,0,42,42,28.55,3.2432425022125244,57.85,25.494444444444444,3.392861604690552,200,196,1211.5818157196045,6.051337687969208,2026-01-24T12:52:34.378350,
200,SAS,0,42,42,34.6,3.0097012519836426,62.4,40.65,2.794663906097412,200,196,794.5477046966553,3.966072908639908,2026-01-24T13:05:48.936432,
50,Baseline,1,42,42,29.6,3.3600049018859863,56.8,85.13333333333334,1.5298527479171753,200,184,149.1662197113037,0.7392751479148865,2026-01-24T13:08:18.113229,
50,RandAugment,1,42,42,26.8,3.3285133838653564,58.6,33.4,3.084845542907715,200,199,306.8578238487244,1.5277303528785706,2026-01-24T13:13:24.980758,
50,SAS,1,42,42,31.0,3.2893855571746826,59.8,87.6,1.503558874130249,200,198,200.2720947265625,0.9947689747810364,2026-01-24T13:16:45.261686,
20,Baseline,1,42,42,20.0,3.72304368019104,42.0,28.05555555555556,3.219572067260742,200,156,64.63732695579529,0.3166331768035889,2026-01-24T13:17:49.911262,
20,RandAugment,1,42,42,11.0,4.001559257507324,32.0,9.61111111111111,4.01820182800293,200,165,123.90100622177124,0.6129432260990143,2026-01-24T13:19:53.822268,
20,SAS,1,42,42,21.0,3.604737520217896,45.5,31.5,3.0894908905029297,200,178,81.80022120475769,0.4024035263061523,2026-01-24T13:21:15.631635,
200,Baseline,1,42,42,36.95,2.906214714050293,66.5,46.99444444444445,2.568382024765014,200,196,595.7941679954529,2.972397050857544,2026-01-24T13:31:11.434926,
200,RandAugment,1,42,42,31.7,3.091063499450684,63.05,27.622222222222224,3.271742105484009,200,199,1212.0900285243988,6.053786388635635,2026-01-24T13:51:23.535818,
200,SAS,1,42,42,37.9,2.8797969818115234,67.15,44.65,2.6551146507263184,200,197,795.212034702301,3.969428688287735,2026-01-24T14:04:38.758367,
50,Baseline,2,42,42,33.0,3.200203895568848,58.2,90.62222222222222,1.3997280597686768,200,195,152.78118562698364,0.757214572429657,2026-01-24T14:07:11.547819,
50,RandAugment,2,42,42,26.8,3.331022024154663,56.6,29.044444444444444,3.248204231262207,200,197,306.2754137516022,1.5247285079956054,2026-01-24T14:12:17.832806,
50,SAS,2,42,42,31.6,3.18985915184021,60.0,81.53333333333333,1.6870882511138916,200,193,199.93080687522888,0.993104158639908,2026-01-24T14:15:37.773226,
20,Baseline,2,42,42,21.0,3.744158983230591,42.5,43.5,2.742199420928955,200,172,62.3964204788208,0.3053604006767273,2026-01-24T14:16:40.179658,
20,RandAugment,2,42,42,14.0,3.940505743026733,33.0,10.88888888888889,3.9490933418273926,200,184,125.54739141464232,0.621114639043808,2026-01-24T14:18:45.736082,
20,SAS,2,42,42,22.0,3.6416049003601074,49.0,55.05555555555556,2.4166676998138428,200,186,82.03349447250366,0.4035357928276062,2026-01-24T14:20:07.778712,
200,Baseline,2,42,42,38.3,2.8965654373168945,67.4,45.48333333333333,2.621011734008789,200,200,595.3224802017212,2.9700381815433503,2026-01-24T14:30:03.111076,
200,RandAugment,2,42,42,31.8,3.1125333309173584,62.0,27.65,3.28740668296814,200,200,1213.3415710926056,6.060054500102996,2026-01-24T14:50:16.462803,
200,SAS,2,42,42,37.5,2.901867389678955,66.9,43.05555555555556,2.6956496238708496,200,197,794.0753848552704,3.963789556026459,2026-01-24T15:03:30.546830,
50,Baseline,3,42,42,26.8,3.348443031311035,56.2,82.15555555555555,1.6004608869552612,200,184,153.1858627796173,0.7592739653587341,2026-01-24T15:06:03.742385,
50,RandAugment,3,42,42,28.0,3.296916961669922,55.4,27.488888888888887,3.264965534210205,200,183,305.015949010849,1.518570979833603,2026-01-24T15:11:08.769266,
50,SAS,3,42,42,28.4,3.3882434368133545,53.2,71.0,1.8968254327774048,200,182,201.00978350639343,0.998431212902069,2026-01-24T15:14:29.788648,
20,Baseline,3,42,42,15.0,3.794403553009033,39.5,41.44444444444444,2.819944381713867,200,179,61.75682353973389,0.3021747243404388,2026-01-24T15:15:31.554688,
20,RandAugment,3,42,42,9.5,4.046177387237549,29.5,11.833333333333334,4.004062652587891,200,174,125.30499911308289,0.6198581385612488,2026-01-24T15:17:36.869763,
20,SAS,3,42,42,16.0,3.891121864318848,34.0,34.94444444444444,3.024588108062744,200,174,82.65744733810425,0.4065811598300934,2026-01-24T15:18:59.536278,
200,Baseline,3,42,42,36.55,2.9515058994293213,65.1,45.75555555555555,2.6151602268218994,200,199,592.8734283447266,2.957629768848419,2026-01-24T15:28:52.419627,
200,RandAugment,3,42,42,28.7,3.2183175086975098,59.35,25.70555555555556,3.36712646484375,200,200,1216.3826701641085,6.0752581536769865,2026-01-24T15:49:08.811631,
200,SAS,3,42,42,34.2,3.028308153152466,63.05,40.422222222222224,2.7906503677368164,200,195,794.0354189872742,3.9634650361537935,2026-01-24T16:02:22.856779,
50,Baseline,4,42,42,31.6,3.308216094970703,55.2,93.0,1.3273611068725586,200,194,150.48379015922546,0.7457331085205078,2026-01-24T16:04:53.351770,
50,RandAugment,4,42,42,26.8,3.336334228515625,55.4,31.91111111111111,3.132849931716919,200,195,305.4553737640381,1.5206955325603486,2026-01-24T16:09:58.817036,
50,SAS,4,42,42,31.8,3.2906947135925293,55.4,76.24444444444444,1.8048570156097408,200,186,203.2071597576141,1.0094078934192658,2026-01-24T16:13:22.034930,
20,Baseline,4,42,42,16.5,4.0194854736328125,33.5,43.61111111111112,2.683518409729004,200,167,62.00280952453613,0.3033835732936859,2026-01-24T16:14:24.047850,
20,RandAugment,4,42,42,11.5,3.967494010925293,34.0,14.11111111111111,3.839876413345337,200,177,123.70464992523192,0.6118896186351777,2026-01-24T16:16:27.762167,
20,SAS,4,42,42,18.5,3.950643539428711,34.5,47.333333333333336,2.652414321899414,200,175,85.12916803359985,0.4189853596687317,2026-01-24T16:17:52.901872,
200,Baseline,4,42,42,35.95,2.9519927501678467,65.75,42.66111111111111,2.703052043914795,200,198,592.3526787757874,2.9551026999950407,2026-01-24T16:27:45.265507,
200,RandAugment,4,42,42,30.8,3.15333104133606,61.15,26.383333333333333,3.3447585105896,200,200,1215.6425590515137,6.071540237665176,2026-01-24T16:48:00.918443,
200,SAS,4,42,42,35.8,2.952256202697754,65.35,42.577777777777776,2.721971273422241,200,198,794.5372076034546,3.965980998277664,2026-01-24T17:01:15.465733,
100,Baseline,0,42,42,38.8,2.9720230102539062,63.7,69.73333333333333,1.9534772634506226,200,198,292.98414397239685,1.4579085052013396,2026-01-24T17:15:44.032852,
100,RandAugment,0,42,42,30.6,3.138141393661499,60.4,32.94444444444444,3.0953595638275146,200,194,598.4986417293549,2.985933563709259,2026-01-24T17:25:42.542752,
100,SAS,0,42,42,39.1,2.922863245010376,64.8,64.92222222222222,2.0522987842559814,200,195,389.876788854599,1.9427239680290223,2026-01-24T17:32:12.429910,
100,Baseline,1,42,42,36.5,2.9992287158966064,64.5,74.84444444444445,1.806388258934021,200,199,292.4908299446106,1.4559116888046264,2026-01-24T17:37:04.931491,
100,RandAugment,1,42,42,31.1,3.0971391201019287,62.7,34.044444444444444,3.070155620574951,200,199,595.9190766811371,2.972998023033142,2026-01-24T17:47:00.859842,
100,SAS,1,42,42,36.6,2.946685791015625,64.5,63.06666666666667,2.0984396934509277,200,191,391.4174094200134,1.9505293309688567,2026-01-24T17:53:32.286372,
100,Baseline,2,42,42,33.9,3.004098415374756,64.1,67.57777777777778,1.9943034648895264,200,196,289.2515940666199,1.4397186172008514,2026-01-24T17:58:21.549406,
100,RandAugment,2,42,42,31.6,3.168213367462158,61.4,29.433333333333334,3.231738567352295,200,194,600.6272664070129,2.9965821635723113,2026-01-24T18:08:22.185900,
100,SAS,2,42,42,38.6,2.8771145343780518,67.7,64.12222222222222,2.069369316101074,200,192,389.8991618156433,1.9428434681892395,2026-01-24T18:14:52.094214,
100,Baseline,3,42,42,32.9,3.0823285579681396,60.9,68.64444444444445,1.9625247716903687,200,194,292.6082389354706,1.4563152694702148,2026-01-24T18:19:44.711592,
100,RandAugment,3,42,42,31.4,3.119002342224121,60.1,32.44444444444444,3.0755937099456787,200,197,599.214691400528,2.98942298412323,2026-01-24T18:29:43.936073,
100,SAS,3,42,42,36.7,2.998091697692871,63.1,52.62222222222222,2.3724963665008545,200,184,389.9985785484314,1.9434827518463136,2026-01-24T18:36:13.945150,
100,Baseline,4,42,42,35.3,3.055516242980957,62.5,69.31111111111112,1.9527944326400757,200,196,290.8408088684082,1.4475979328155517,2026-01-24T18:41:04.794797,
100,RandAugment,4,42,42,30.0,3.1577038764953613,59.7,32.34444444444444,3.1180243492126465,200,197,599.2759187221527,2.98971156835556,2026-01-24T18:51:04.078937,
100,SAS,4,42,42,36.0,3.0413594245910645,62.8,63.922222222222224,2.087190628051758,200,193,392.09537267684937,1.9539528632164,2026-01-24T18:57:36.185498,
